role,partner,sheet,side,date,kind,lp,truck,inv,debit,credit,effect,sp,tdate,lines
customer,ARABIYA,ARABIYA,ar,2026-08-01,payment,PAYMENT,ABSA,,0.0,1500000.0,-1500000.0,0.0,2026-08-01,[]
customer,BOLD,BOLD,ar,2026-08-01,payment,PAYMENT,PETRONET,,0.0,4358000.0,-4358000.0,0.0,2026-08-01,[]
customer,DARRUSALAAM,DARRUSALAAM,ar,2026-08-01,payment,PAYMENT,KCB,,0.0,1600000.0,-1600000.0,0.0,2026-08-01,[]
customer,HOKOLA,HOKOLA,ar,2026-08-01,payment,PAYMENT,KCB,,0.0,100000.0,-100000.0,0.0,2026-08-01,[]
customer,KUSOW,KUSOW,ar,2026-08-01,payment,PAYMENT,PREMIER,,0.0,27220.0,-27220.0,0.0,2026-08-01,[]
customer,KUSOW,KUSOW,ar,2026-08-01,payment,PAYMENT,PREMIER,,0.0,215439.0,-215439.0,0.0,2026-08-01,[]
customer,PETROL KIM,PETROL KIM,ar,2026-08-01,loading,,KCR 924W,,1993000.0,0.0,1993000.0,1993000.0,2026-08-01,"[{""grade"": ""AGO"", ""qty"": 10000.0, ""price"": 199.3}]"
customer,PETROL KIM,PETROL KIM,ar,2026-08-01,loading,,KBB 038G,,1993000.0,0.0,1993000.0,1993000.0,2026-08-01,"[{""grade"": ""PMS"", ""qty"": 10000.0, ""price"": 199.3}]"
customer,PETROL KIM,PETROL KIM,ar,2026-08-01,loading,,KBS 311L,,1993000.0,0.0,1993000.0,1993000.0,2026-08-01,"[{""grade"": ""PMS"", ""qty"": 10000.0, ""price"": 199.3}]"
customer,UPSALA,UPSALA,ar,2026-08-01,payment,PAYMENT,KCB,,0.0,470000.0,-470000.0,0.0,2026-08-01,[]
supplier,AFTAH PETROLEUM LIMITED,AFTAH,ap,2026-08-01,payment,PAYMENT,ABSA,,1980000.0,0.0,-1980000.0,0.0,2026-08-01,[]
