date,truck,grade,qty,price,partner,inv,credit,debit,sp
2026-08-01,KBB 038G,PMS,10000.0,199.3,PETROL KIM,,0.0,1993000.0,1993000.0
2026-08-01,KBS 311L,PMS,10000.0,199.3,PETROL KIM,,0.0,1993000.0,1993000.0
2026-08-01,KCR 924W,AGO,10000.0,199.3,PETROL KIM,,0.0,1993000.0,1993000.0
2026-08-04,KBK 308Q,AGO,16000.0,197.5,HASHAM,,0.0,3160000.0,3160000.0
2026-08-04,KCC 166U,PMS,10000.0,199.0,MOHAMED,,0.0,1990000.0,1990000.0
2026-08-05,KAV 369B,AGO,2000.0,204.5,SHAMEEL,,0.0,409000.0,409000.0
2026-08-05,KAV 369B,AGO,2000.0,203.5,KHADIJA,,0.0,1017500.0,1017500.0
2026-08-05,KAV 369B,PMS,3000.0,201.5,HK,,0.0,604500.0,604500.0
2026-08-05,KAV 369B,PMS,3000.0,203.5,KHADIJA,,0.0,1017500.0,1017500.0
2026-08-05,KDM 130W,AGO,4000.0,200.3,BOLD,,0.0,2003000.0,2003000.0
2026-08-05,KDM 130W,PMS,6000.0,200.3,BOLD,,0.0,2003000.0,2003000.0
2026-08-06,KAV 369B,PMS,4000.0,203.0,ARABIYA,,0.0,812000.0,812000.0
2026-08-06,KCR 924W,PMS,10000.0,202.3,PETROL KIM,,0.0,2023000.0,2023000.0
2026-08-07,KAR 032Y,PMS,10000.0,203.3,BOLD,,0.0,2033000.0,2033000.0
2026-08-07,KAV 369B,AGO,4000.0,203.5,ARABIYA,,0.0,2023000.0,2023000.0
2026-08-07,KAV 369B,PMS,6000.0,201.5,ARABIYA,,0.0,2023000.0,2023000.0
2026-08-07,KBK 308Q,AGO,2000.0,201.5,MAQBUL,5025-1078,0.0,403000.0,403000.0
2026-08-07,KBK 308Q,AGO,14000.0,198.3,BOLD,,0.0,2776200.0,2776200.0
2026-08-07,KDC 920Y,AGO,10000.0,198.3,BOLD,,0.0,1983000.0,1983000.0
2026-08-07,KDT 943V,PMS,3000.0,204.5,MAQBUL,5025-1079,0.0,613500.0,613500.0
2026-08-07,KDT 943V,PMS,7000.0,203.3,BOLD,,0.0,1423100.0,1423100.0
