partner,loadings,payments,debit,credit,qty
BOLD,40,42,85353000.0,84056000.0,425000.0
PETROL KIM,12,5,24136000.0,16900000.0,120000.0
DARRUSALAAM,2,5,14477000.0,15750000.0,72000.0
OREY,1,2,7146000.0,14256000.0,36000.0
HESFAN,1,2,7880000.0,7880000.0,40000.0
BILL,1,1,7505000.0,7505000.0,38000.0
MALUINI,3,4,5995000.0,7940000.0,30000.0
MAOW,2,3,4823200.0,3773600.0,24000.0
MARZIQ,2,2,4005000.0,4395000.0,20000.0
KUSOW,2,23,4035500.0,4103293.0,20000.0
SAYUSA,2,3,4020000.0,4110000.0,20000.0
LANDMARK,2,5,4040000.0,4025000.0,20000.0
ZAYNU,2,4,3971000.0,3971000.0,20000.0
MAQBUL,3,7,3006500.0,4833000.0,15000.0
WAFI,2,3,4025000.0,3600000.0,20000.0
HASHAM,1,1,3160000.0,3160000.0,16000.0
ARABIYA,2,5,2835000.0,3481842.0,14000.0
WBP INVEST.,2,3,4656500.0,1002000.0,23000.0
TRANSGLIDE,2,1,3030500.0,2023000.0,15000.0
UPSALA,1,7,2040000.0,2040000.0,10000.0
RAMCO,1,3,2032500.0,2000000.0,10000.0
QUBAA,1,1,2012000.0,2009000.0,10000.0
DIMKA,1,1,1990000.0,1990000.0,10000.0
FRABIJE,1,2,1973000.0,1973000.0,10000.0
PETRO POINT,1,1,1970000.0,1970000.0,10000.0
MOHAMED,1,2,1990000.0,1750000.0,10000.0
KHADIJA,1,3,1017500.0,1402500.0,5000.0
HOKOLA,1,7,1224000.0,884100.0,6000.0
ELYAAS,1,0,2020000.0,0.0,10000.0
SHAMEEL,2,7,1022500.0,962900.0,5000.0
CHESEFIELD,1,2,995000.0,900000.0,5000.0
SAKATII,1,8,818000.0,1000000.0,4000.0
BURKO,0,1,1740000.0,0.0,0.0
HK,1,3,604500.0,604500.0,3000.0
GULNAZ,0,1,0.0,540900.0,0.0
MWAMU,0,5,0.0,293100.0,0.0
