date,truck,grade,qty,supplier,customer,buy_unit,sell_unit,margin_unit,margin_total,buy_total,sell_total
2026-08-03,KAR 032Y,AGO,10000.0,RAAD ENERGY LIMITED,BOLD,195.0,196.8,1.8,18000.0,1950000.0,1968000.0
2026-08-03,KAV 369B,AGO,10000.0,SKYBARREL ENERGY LIMITED,MARZIQ,196.5,199.0,2.5,25000.0,1965000.0,1990000.0
2026-08-03,KBE 245Y,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,198.3,0.3,3000.0,1980000.0,1983000.0
2026-08-03,KBF 520W,AGO,10000.0,RAAD ENERGY LIMITED,FRABIJE,195.0,197.3,2.3,23000.0,1950000.0,1973000.0
2026-08-03,KBF 520W,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,UPSALA,198.0,204.0,6.0,60000.0,1980000.0,2040000.0
2026-08-03,KBF696N,AGO,10000.0,SKYBARREL ENERGY LIMITED,PETRO POINT,196.5,197.0,0.5,5000.0,1965000.0,1970000.0
2026-08-03,KBV 676M/ZC8643,AGO,40000.0,RAAD ENERGY LIMITED,HESFAN,195.0,197.0,2.0,80000.0,7800000.0,7880000.0
2026-08-03,KBX 293X,PMS,5000.0,VITALAC INTERNATIONAL  LIMITED,CHESEFIELD,198.0,199.0,1.0,5000.0,990000.0,995000.0
2026-08-03,KBX 293X,PMS,5000.0,VITALAC INTERNATIONAL  LIMITED,WBP INVEST.,198.0,200.5,2.5,12500.0,990000.0,1002500.0
2026-08-03,KBZ 984F,PMS,17000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,198.3,0.3,5100.0,3366000.0,3371100.0
2026-08-03,KCB 566A,AGO,38000.0,SKYBARREL ENERGY LIMITED,BILL,196.5,197.5,1.0,38000.0,7467000.0,7505000.0
2026-08-03,KCL 098L,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,198.3,0.3,3000.0,1980000.0,1983000.0
2026-08-03,KCR 924W,AGO,10000.0,RAAD ENERGY LIMITED,PETROL KIM,195.0,199.3,4.3,43000.0,1950000.0,1993000.0
2026-08-03,KDC 920Y,AGO,10000.0,RAAD ENERGY LIMITED,BOLD,195.0,196.8,1.8,18000.0,1950000.0,1968000.0
2026-08-03,KDM 130W,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,198.3,0.3,3000.0,1980000.0,1983000.0
2026-08-03,KDU 024V,AGO,10000.0,RAAD ENERGY LIMITED,MALUINI,195.0,197.5,2.5,25000.0,1950000.0,1975000.0
2026-08-04,KBB 038G,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,PETROL KIM,198.0,200.3,2.3,23000.0,1980000.0,2003000.0
2026-08-04,KBE 245Y,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,198.8,0.8,8000.0,1980000.0,1988000.0
2026-08-04,KBG 498R,AGO,3000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,660.0,662.1667,2.1667,6500.0,1980000.0,1986500.0
2026-08-04,KBG 498R,PMS,7000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,282.8571,283.7857,0.9286,6500.0,1980000.0,1986500.0
2026-08-04,KBL 473S,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,198.0,198.8,0.8,8000.0,1980000.0,1988000.0
2026-08-04,KBS 311L,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,PETROL KIM,198.0,200.3,2.3,23000.0,1980000.0,2003000.0
2026-08-04,KBX 293X,AGO,10000.0,VITALAC INTERNATIONAL  LIMITED,ZAYNU,198.0,198.3,0.3,3000.0,1980000.0,1983000.0
2026-08-04,KBY 554Z,AGO,4000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,495.0,496.5,1.5,6000.0,1980000.0,1986000.0
2026-08-04,KBY 554Z,PMS,6000.0,VITALAC INTERNATIONAL  LIMITED,BOLD,330.0,331.0,1.0,6000.0,1980000.0,1986000.0
2026-08-04,KCA 340H,AGO,35000.0,VITALAC INTERNATIONAL  LIMITED,DARRUSALAAM,198.0,198.5,0.5,17500.0,6930000.0,6947500.0
2026-08-04,KCA 972M,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,ZAYNU,198.0,198.8,0.8,8000.0,1980000.0,1988000.0
2026-08-04,KCB 934M,AGO,8000.0,VITALAC INTERNATIONAL  LIMITED,MAOW,297.0,298.95,1.95,15600.0,2376000.0,2391600.0
2026-08-04,KCB 934M,PMS,4000.0,VITALAC INTERNATIONAL  LIMITED,MAOW,594.0,597.9,3.9,15600.0,2376000.0,2391600.0
2026-08-04,KCF 657F,PMS,10000.0,VITALAC INTERNATIONAL  LIMITED,WAFI,198.0,199.0,1.0,10000.0,1980000.0,1990000.0
