buy_total,buy_unit,cus_date,customer,date_offset_days,grade,margin_total,margin_unit,match_note,qty,sell_total,sell_unit,sup_date,supplier,truck
1950000.0,195.0,2026-08-03,MALUINI,0,AGO,25000.0,2.5,truck+grade+qty ±1d,10000.0,1975000.0,197.5,2026-08-03,RAAD ENERGY LIMITED,KDU 024V
1950000.0,195.0,2026-08-03,BOLD,0,AGO,18000.0,1.8,truck+grade+qty ±1d,10000.0,1968000.0,196.8,2026-08-03,RAAD ENERGY LIMITED,KDC 920Y
1950000.0,195.0,2026-08-03,BOLD,0,AGO,18000.0,1.8,truck+grade+qty ±1d,10000.0,1968000.0,196.8,2026-08-03,RAAD ENERGY LIMITED,KAR 032Y
7800000.0,195.0,2026-08-03,HESFAN,0,AGO,80000.0,2.0,truck+grade+qty ±1d,40000.0,7880000.0,197.0,2026-08-03,RAAD ENERGY LIMITED,KBV 676M/ZC8643
1950000.0,195.0,2026-08-03,FRABIJE,0,AGO,23000.0,2.3,truck+grade+qty ±1d,10000.0,1973000.0,197.3,2026-08-03,RAAD ENERGY LIMITED,KBF 520W
3120000.0,195.0,2026-08-04,HASHAM,1,AGO,40000.0,2.5,truck+grade+qty ±1d,16000.0,3160000.0,197.5,2026-08-03,RAAD ENERGY LIMITED,KBK 308Q
1950000.0,195.0,2026-08-03,PETROL KIM,0,AGO,43000.0,4.3,truck+grade+qty ±1d,10000.0,1993000.0,199.3,2026-08-03,RAAD ENERGY LIMITED,KCR 924W
1965000.0,196.5,2026-08-03,MARZIQ,0,AGO,25000.0,2.5,truck+grade+qty ±1d,10000.0,1990000.0,199.0,2026-08-03,SKYBARREL ENERGY LIMITED,KAV 369B
7467000.0,196.5,2026-08-03,BILL,0,AGO,38000.0,1.0,truck+grade+qty ±1d,38000.0,7505000.0,197.5,2026-08-03,SKYBARREL ENERGY LIMITED,KCB 566A
1965000.0,196.5,2026-08-03,PETRO POINT,0,AGO,5000.0,0.5,truck+grade+qty ±1d,10000.0,1970000.0,197.0,2026-08-03,SKYBARREL ENERGY LIMITED,KBF696N
3366000.0,198.0,2026-08-03,BOLD,0,PMS,5100.0,0.3,truck+grade+qty ±1d,17000.0,3371100.0,198.3,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KBZ 984F
1980000.0,198.0,2026-08-03,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,1983000.0,198.3,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KBE 245Y
1980000.0,198.0,2026-08-03,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,1983000.0,198.3,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KCL 098L
1980000.0,198.0,2026-08-03,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,1983000.0,198.3,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KDM 130W
1980000.0,198.0,2026-08-04,MOHAMED,1,PMS,10000.0,1.0,truck+grade+qty ±1d,10000.0,1990000.0,199.0,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KCC 166U
990000.0,198.0,2026-08-03,CHESEFIELD,0,PMS,5000.0,1.0,truck+grade+qty ±1d,5000.0,995000.0,199.0,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KBX 293X
990000.0,198.0,2026-08-03,WBP INVEST.,0,PMS,12500.0,2.5,truck+grade+qty ±1d,5000.0,1002500.0,200.5,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KBX 293X
1980000.0,198.0,2026-08-03,UPSALA,0,PMS,60000.0,6.0,truck+grade+qty ±1d,10000.0,2040000.0,204.0,2026-08-03,VITALAC INTERNATIONAL  LIMITED,KBF 520W
1980000.0,198.0,2026-08-04,WAFI,0,PMS,10000.0,1.0,truck+grade+qty ±1d,10000.0,1990000.0,199.0,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KCF 657F
4950000.0,198.0,2026-08-04,OREY,0,PMS,12500.0,0.5,truck+grade+qty ±1d,25000.0,4962500.0,198.5,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KCH 048B
2178000.0,198.0,2026-08-04,OREY,0,AGO,5500.0,0.5,truck+grade+qty ±1d,11000.0,2183500.0,198.5,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KCH 048B
1980000.0,198.0,2026-08-04,PETROL KIM,0,PMS,23000.0,2.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBB 038G
1980000.0,198.0,2026-08-04,PETROL KIM,0,PMS,23000.0,2.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBS 311L
792000.0,198.0,2026-08-04,MAOW,0,PMS,5200.0,1.3,truck+grade+qty ±1d,4000.0,797200.0,199.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KCB 934M
1584000.0,198.0,2026-08-04,MAOW,0,AGO,10400.0,1.3,truck+grade+qty ±1d,8000.0,1594400.0,199.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KCB 934M
1200000.0,200.0,2026-08-05,BOLD,1,PMS,1800.0,0.3,truck+grade+qty ±1d,6000.0,1201800.0,200.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KDM 130W
800000.0,200.0,2026-08-05,BOLD,1,AGO,1200.0,0.3,truck+grade+qty ±1d,4000.0,801200.0,200.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KDM 130W
1980000.0,198.0,2026-08-04,BOLD,0,PMS,8000.0,0.8,truck+grade+qty ±1d,10000.0,1988000.0,198.8,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBE 245Y
1386000.0,198.0,2026-08-04,BOLD,0,PMS,5600.0,0.8,truck+grade+qty ±1d,7000.0,1391600.0,198.8,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBG 498R
594000.0,198.0,2026-08-04,BOLD,0,AGO,900.0,0.3,truck+grade+qty ±1d,3000.0,594900.0,198.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBG 498R
1980000.0,198.0,2026-08-04,ZAYNU,0,AGO,3000.0,0.3,truck+grade+qty ±1d,10000.0,1983000.0,198.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBX 293X
1980000.0,198.0,2026-08-04,ZAYNU,0,PMS,8000.0,0.8,truck+grade+qty ±1d,10000.0,1988000.0,198.8,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KCA 972M
1980000.0,198.0,2026-08-04,BOLD,0,PMS,8000.0,0.8,truck+grade+qty ±1d,10000.0,1988000.0,198.8,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBL 473S
1188000.0,198.0,2026-08-04,BOLD,0,PMS,4800.0,0.8,truck+grade+qty ±1d,6000.0,1192800.0,198.8,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBY 554Z
792000.0,198.0,2026-08-04,BOLD,0,AGO,1200.0,0.3,truck+grade+qty ±1d,4000.0,793200.0,198.3,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KBY 554Z
1980000.0,198.0,2026-08-04,BOLD,0,PMS,8000.0,0.8,truck+grade+qty ±1d,10000.0,1988000.0,198.8,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KDT 943V
1980000.0,198.0,2026-08-04,SAYUSA,0,AGO,20000.0,2.0,truck+grade+qty ±1d,10000.0,2000000.0,200.0,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KDG 103L
6930000.0,198.0,2026-08-04,DARRUSALAAM,0,AGO,17500.0,0.5,truck+grade+qty ±1d,35000.0,6947500.0,198.5,2026-08-04,VITALAC INTERNATIONAL  LIMITED,KCA 340H
2030000.0,203.0,2026-08-05,BOLD,0,AGO,3000.0,0.3,truck+grade+qty ±1d,10000.0,2033000.0,203.3,2026-08-05,KENGAS KENYA LIMITED,KCG 292V
1980000.0,198.0,2026-08-05,MALUINI,0,PMS,30000.0,3.0,truck+grade+qty ±1d,10000.0,2010000.0,201.0,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KDU 024V
1980000.0,198.0,2026-08-05,BOLD,0,PMS,23000.0,2.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KDC 920Y
