date,truck,grade,qty,price,partner,inv,credit,debit
2026-08-03,KBK 308Q,AGO,16000.0,195.0,RAAD ENERGY LIMITED,,0.0,3120000.0
2026-08-03,KCC 166U,PMS,10000.0,198.0,VITALAC INTERNATIONAL  LIMITED,,1980000.0,0.0
2026-08-04,KAV 369B,AGO,4000.0,198.0,VITALAC INTERNATIONAL  LIMITED,,1980000.0,0.0
2026-08-04,KAV 369B,PMS,6000.0,198.0,VITALAC INTERNATIONAL  LIMITED,,1980000.0,0.0
2026-08-04,KDM 130W,AGO,4000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,2000000.0,0.0
2026-08-04,KDM 130W,PMS,6000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,2000000.0,0.0
2026-08-05,KAV 369B,PMS,10000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,2000000.0,0.0
2026-08-05,KCR 924W,PMS,10000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,2000000.0,0.0
2026-08-05,KDL 369T,PMS,6000.0,204.5,VITALAC INTERNATIONAL  LIMITED,,1227000.0,0.0
2026-08-06,KAV 369B,AGO,4000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,2000000.0,0.0
2026-08-06,KDG 103L,PMS,3000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,600000.0,0.0
2026-08-07,KAR 032Y,AGO,10000.0,198.0,PREMIUM ENERGY LIMITED,,0.0,1980000.0
2026-08-07,KBK 308Q,AGO,16000.0,198.0,PREMIUM ENERGY LIMITED,,0.0,3168000.0
2026-08-07,KDC 920Y,PMS,10000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,2000000.0,0.0
2026-08-07,KDG 103L,AGO,5000.0,199.5,VITALAC INTERNATIONAL  LIMITED,,997500.0,0.0
2026-08-07,KDT 943V,PMS,10000.0,200.0,VITALAC INTERNATIONAL  LIMITED,,2000000.0,0.0
2026-08-10,KBF 520W,AGO,10000.0,199.0,OIL HUB ENERGY LIIMITED,,0.0,1990000.0
2026-08-10,KCN 025A,PMS,6000.0,205.0,FOSSIL SUPPLIES  LIMITED,,0.0,1230000.0
