partner,loadings,payments,debit,credit,qty
VITALAC INTERNATIONAL  LIMITED,74,33,159429000.0,160004500.0,800000.0
RAAD ENERGY LIMITED,7,6,20670000.0,20670000.0,106000.0
SKYBARREL ENERGY LIMITED,3,6,11397000.0,11397000.0,58000.0
PREMIUM ENERGY LIMITED,2,2,5148000.0,5148000.0,26000.0
OIL HUB ENERGY LIIMITED,4,0,9258000.0,0.0,46000.0
PIN OIL,2,2,4277500.0,4786500.0,24000.0
OLA ENERGIES KENYA LTD,2,2,3941000.0,3940000.0,20000.0
KENGAS KENYA LIMITED,1,3,2030000.0,2030000.0,10000.0
AFTAH PETROLEUM LIMITED,0,3,3949000.0,0.0,0.0
FOSSIL SUPPLIES  LIMITED,1,2,1230000.0,1230000.0,6000.0
QUALITY PETROLEUM,0,1,2000000.0,0.0,0.0
SKYHAS  ENERGY LIMITED,0,1,1970000.0,0.0,0.0
