row,date,supplier,customer,truck,grade,qty,buy_unit,sell_unit,buy_total,sell_total,margin_row,sheet_buy_total_col,sheet_margin_col
3,2026-08-01,AFTAH,PETROLKIM,KCR 924W,AGO,10000.0,197.0,199.3,1970000.0,1993000.0,23000.0,1970000.0,23000.0
4,2026-08-01,VITALAC,PETROLKIM,KBB 038G,PMS,10000.0,197.5,199.3,1975000.0,1993000.0,18000.0,1975000.0,18000.0
5,2026-08-01,VITALAC,PETROLKIM,KBS 311L,PMS,10000.0,197.5,199.3,1975000.0,1993000.0,18000.0,1975000.0,18000.0
7,2026-08-03,VITALAC,BOLD,KBZ 984F,PMS,17000.0,198.0,198.3,3366000.0,3371100.0,5100.0,3366000.0,5100.0
8,2026-08-03,VITALAC,BOLD,KBE 245Y,PMS,10000.0,198.0,198.3,1980000.0,1983000.0,3000.0,1980000.0,3000.0
9,2026-08-03,VITALAC,BOLD,KCL 098L,PMS,10000.0,198.0,198.3,1980000.0,1983000.0,3000.0,1980000.0,3000.0
10,2026-08-03,VITALAC,BOLD,KDM 130W,PMS,10000.0,198.0,198.3,1980000.0,1983000.0,3000.0,1980000.0,3000.0
11,2026-08-03,VITALAC,CHESFIELD,KBX 293X,PMS,5000.0,198.0,199.0,990000.0,995000.0,5000.0,990000.0,5000.0
12,2026-08-03,VITALAC,WBP INVESTMENT,KBX 293X,PMS,5000.0,198.0,200.5,990000.0,1002500.0,12500.0,990000.0,12500.0
13,2026-08-03,VITALAC,UPSALA,KBF 520W,PMS,10000.0,198.0,204.0,1980000.0,2040000.0,60000.0,1980000.0,60000.0
14,2026-08-03,RAAD,MALUINI VENTURES,KDU 024V,AGO,10000.0,195.0,197.5,1950000.0,1975000.0,25000.0,1950000.0,25000.0
15,2026-08-03,RAAD,BOLD,KDC 920Y,AGO,10000.0,195.0,196.8,1950000.0,1968000.0,18000.0,1950000.0,18000.0
16,2026-08-03,RAAD,BOLD,KAR 032Y,AGO,10000.0,195.0,196.8,1950000.0,1968000.0,18000.0,1950000.0,18000.0
17,2026-08-03,RAAD,HESFAN,KBV 676M/ZC8643,AGO,40000.0,195.0,197.0,7800000.0,7880000.0,80000.0,7800000.0,80000.0
18,2026-08-03,RAAD,FABRIJE,KBF 520W,AGO,10000.0,195.0,197.3,1950000.0,1973000.0,23000.0,1950000.0,23000.0
19,2026-08-03,RAAD,PETROLKIM,KCR 924W,AGO,10000.0,195.0,199.3,1950000.0,1993000.0,43000.0,1950000.0,43000.0
20,2026-08-03,SKYBARREL,PETRO POINT,KBF 696N,AGO,10000.0,196.5,197.0,1965000.0,1970000.0,5000.0,1965000.0,5000.0
21,2026-08-03,SKYBARREL,BILL ENERGIES,KCB 566A,AGO,38000.0,196.5,197.5,7467000.0,7505000.0,38000.0,7467000.0,38000.0
22,2026-08-03,SKYBARREL,MARZIQ,KAV 369B,AGO,10000.0,196.5,199.0,1965000.0,1990000.0,25000.0,1965000.0,25000.0
