id,date,name,state,truck,customer,grade,supplier,qty,buy,sell,margin,invoices
720,2026-08-01,DEAL/2026/0720,loaded,KCR 924W,PETROLKIM,AGO,AFTAH PETROLEUM LIMITED,10000,1970000.00,1993000.00,23000.00,INV/2026/00671
721,2026-08-01,DEAL/2026/0721,loaded,KBB 038G,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1970000.00,1993000.00,23000.00,INV/2026/00672
722,2026-08-01,DEAL/2026/0722,loaded,KBS 311L,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1970000.00,1993000.00,23000.00,INV/2026/00673
723,2026-08-03,DEAL/2026/0723,loaded,KCB 566A,BILL ENERGIES LTD,AGO,SKYBARREL ENERGIES LIMITED,38000,7467000.00,7505000.00,38000.00,INV/2026/00674
724,2026-08-03,DEAL/2026/0724,loaded,KDC 920Y,BOLD,AGO,RAAD ENERGY LIMITED,10000,1950000.00,1968000.00,18000.00,INV/2026/00675
725,2026-08-03,DEAL/2026/0725,loaded,KAR 032Y,BOLD,AGO,RAAD ENERGY LIMITED,10000,1950000.00,1968000.00,18000.00,INV/2026/00676
726,2026-08-03,DEAL/2026/0726,loaded,KBZ 984F,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,17000,3366000.00,3371100.00,5100.00,INV/2026/00677
727,2026-08-03,DEAL/2026/0727,loaded,KBE 245Y,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1983000.00,3000.00,INV/2026/00678
728,2026-08-03,DEAL/2026/0728,loaded,KCL 098L,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1983000.00,3000.00,INV/2026/00679
729,2026-08-03,DEAL/2026/0729,loaded,KDM 130W,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1983000.00,3000.00,INV/2026/00680
730,2026-08-03,DEAL/2026/0730,loaded,KBX 293X,CHESFIELD INVESTMENT LTD,PMS,VITALAC INTERNATIONAL  LIMITED,5000,990000.00,995000.00,5000.00,INV/2026/00681
731,2026-08-03,DEAL/2026/0731,loaded,KBF 520W,FRABIJE INVESTMENT LTD,AGO,RAAD ENERGY LIMITED,10000,1950000.00,1973000.00,23000.00,INV/2026/00682
732,2026-08-03,DEAL/2026/0732,loaded,KBV 676M/ZC8643,HESFAN GENERAL LIMITED,AGO,RAAD ENERGY LIMITED,40000,7800000.00,7880000.00,80000.00,INV/2026/00683
733,2026-08-03,DEAL/2026/0733,loaded,KDU 024V,MALUINI VENTURES,AGO,RAAD ENERGY LIMITED,10000,1950000.00,1975000.00,25000.00,INV/2026/00684
734,2026-08-03,DEAL/2026/0734,loaded,KAV 369B,MARZIQ,AGO,SKYBARREL ENERGIES LIMITED,10000,1965000.00,1990000.00,25000.00,INV/2026/00685
735,2026-08-03,DEAL/2026/0735,loaded,KBF696N,PETRO POINT,AGO,SKYBARREL ENERGIES LIMITED,10000,1965000.00,1970000.00,5000.00,INV/2026/00686
736,2026-08-03,DEAL/2026/0736,loaded,KCR 924W,PETROLKIM,AGO,RAAD ENERGY LIMITED,10000,1950000.00,1993000.00,43000.00,INV/2026/00687
737,2026-08-03,DEAL/2026/0737,loaded,KBF 520W,UPSALA HOLDINGS,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2040000.00,60000.00,INV/2026/00688
738,2026-08-03,DEAL/2026/0738,loaded,KBX 293X,WBP INVEST.,PMS,VITALAC INTERNATIONAL  LIMITED,5000,990000.00,1002500.00,12500.00,INV/2026/00689
739,2026-08-04,DEAL/2026/0739,loaded,KBK 308Q,HASHAM LOGISTICS LIMITED,AGO,RAAD ENERGY LIMITED,16000,3120000.00,3160000.00,40000.00,INV/2026/00690
740,2026-08-04,DEAL/2026/0740,loaded,KCC 166U,MOHAMED ABDIRAHMAN,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1990000.00,10000.00,INV/2026/00691
741,2026-08-04,DEAL/2026/0741,loaded,KDM 130W,BOLD,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2020000.00,40000.00,INV/2026/00692|INV/2026/00707|INV/2026/00708
742,2026-08-04,DEAL/2026/0742,loaded,KBE 245Y,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1988000.00,8000.00,INV/2026/00693
743,2026-08-04,DEAL/2026/0743,loaded,KBG 498R,BOLD,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1986500.00,6500.00,INV/2026/00694
744,2026-08-04,DEAL/2026/0744,loaded,KBL 473S,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1988000.00,8000.00,INV/2026/00695
745,2026-08-04,DEAL/2026/0745,loaded,KBY 554Z,BOLD,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1986000.00,6000.00,INV/2026/00696
746,2026-08-04,DEAL/2026/0746,loaded,KDT 943V,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1988000.00,8000.00,INV/2026/00697
747,2026-08-04,DEAL/2026/0747,loaded,KCA 340H,DARUSALAAM,AGO,VITALAC INTERNATIONAL  LIMITED,35000,6930000.00,6947500.00,17500.00,INV/2026/00698
748,2026-08-04,DEAL/2026/0748,loaded,KCB 934M,MAOW,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,12000,2376000.00,2391600.00,15600.00,INV/2026/00699
749,2026-08-04,DEAL/2026/0749,loaded,KCH 048B,OREY FILLING STATION,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,36000,7128000.00,7146000.00,18000.00,INV/2026/00700
750,2026-08-04,DEAL/2026/0750,loaded,KBB 038G,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2003000.00,23000.00,INV/2026/00701
751,2026-08-04,DEAL/2026/0751,loaded,KBS 311L,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2003000.00,23000.00,INV/2026/00702
752,2026-08-04,DEAL/2026/0752,loaded,KDG 103L,SAYUSA,AGO,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2000000.00,20000.00,INV/2026/00703
753,2026-08-04,DEAL/2026/0753,loaded,KCF 657F,WAFI,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1990000.00,10000.00,INV/2026/00704
754,2026-08-04,DEAL/2026/0754,loaded,KBX 293X,ZAYNU,AGO,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1983000.00,3000.00,INV/2026/00705
755,2026-08-04,DEAL/2026/0755,loaded,KCA 972M,ZAYNU,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,1988000.00,8000.00,INV/2026/00706
756,2026-08-05,DEAL/2026/0756,loaded,KAV 369B,HK VENTURES LTD,PMS,VITALAC INTERNATIONAL  LIMITED,3000,594000.00,604500.00,10500.00,INV/2026/00709
757,2026-08-05,DEAL/2026/0757,loaded,KAV 369B,KHADIJA ABDULKARIM,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,5000,990000.00,1017500.00,27500.00,INV/2026/00710
758,2026-08-05,DEAL/2026/0758,loaded,KAV 369B,SHAMEEL,AGO,VITALAC INTERNATIONAL  LIMITED,2000,396000.00,409000.00,13000.00,INV/2026/00711
759,2026-08-05,DEAL/2026/0759,loaded,KDC 920Y,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2003000.00,23000.00,INV/2026/00712
760,2026-08-05,DEAL/2026/0760,loaded,KDT 943V,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,1980000.00,2003000.00,23000.00,INV/2026/00713
761,2026-08-05,DEAL/2026/0761,loaded,KBY 554Z,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2003000.00,-24000.00,INV/2026/00714
762,2026-08-05,DEAL/2026/0762,loaded,KBG 498R,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2000000.00,2003000.00,3000.00,INV/2026/00715
