name,pos_date,supplier,invoice_status,invoice_count,ordered,invoiced,to_invoice,ordered_kes,to_invoice_kes
P00159,2026-08-07,VITALAC INTERNATIONAL  LIMITED,to invoice,1,167000,0,167000,33701000.00,33701000.00
P00163,2026-08-10,VITALAC INTERNATIONAL  LIMITED,to invoice,1,137000,33000,104000,27611500.00,21028000.00
P00153,2026-08-05,VITALAC INTERNATIONAL  LIMITED,to invoice,1,146000,73000,73000,29230000.00,14630000.00
P00161,2026-08-10,OIL HUB ENERGY LIIMITED,to invoice,1,46000,26000,20000,9258000.00,3980000.00
P00155,2026-08-06,VITALAC INTERNATIONAL  LIMITED,to invoice,1,60000,50000,10000,12000000.00,2000000.00
P00152,2026-08-04,VITALAC INTERNATIONAL  LIMITED,to invoice,1,213000,203000,10000,42174000.00,1980000.00
P00156,2026-08-07,PINOIL ENERGY LTD,to invoice,1,24000,23000,1000,4786500.00,198000.00
P00154,2026-08-05,KENGAS KENYA LIMITED,invoiced,1,10000,10000,0,2030000.00,0.00
P00147,2026-08-01,AFTAH PETROLEUM LIMITED,invoiced,1,10000,10000,0,1970000.00,0.00
P00157,2026-08-07,OLA ENERGIES KENYA LTD,invoiced,1,10000,10000,0,1970000.00,0.00
P00158,2026-08-07,PREMIUM ENERGY LIMITED,invoiced,1,26000,26000,0,5148000.00,0.00
P00150,2026-08-03,SKYBARREL ENERGIES LIMITED,invoiced,1,58000,58000,0,11397000.00,0.00
P00160,2026-08-10,FOSSIL SUPPLIES  LIMITED,invoiced,1,6000,6000,0,1230000.00,0.00
P00149,2026-08-03,RAAD ENERGY LIMITED,invoiced,1,106000,106000,0,20670000.00,0.00
P00162,2026-08-10,OLA ENERGIES KENYA LTD,invoiced,1,10000,10000,0,1970000.00,0.00
P00148,2026-08-01,VITALAC INTERNATIONAL  LIMITED,invoiced,1,20000,20000,0,3940000.00,0.00
P00151,2026-08-03,VITALAC INTERNATIONAL  LIMITED,invoiced,1,77000,77000,0,15246000.00,0.00
